ebmlinspect hex

#
# EBMLInspect Format Definition for Matroska (and by
# extension, WebM) Files
#
# From http://www.matroska.org/technical/specs/index.html
#
# Format definitions are in the format:
# [class id],[type],[name],[optional help text]
#
# If hex has been set on the first line, class id is as
# a hexadecimal number. If hex is not set, class id
# is assumed to be decimal.
#
# Lines beginning with # are comments,
# Comments cannot be included after an entry, the line
# must start with #.
#
# Blank lines are ignored.
#
# Including the keyword "fullstop" as the only item on a line
# will keep the program from reading past it.
#

#EBML block
1A45DFA3,MASTERELEMENT,EBML,
4286,UINTEGER,EBMLVersion,
42F7,UINTEGER,EBMLReadVersion,
42F2,UINTEGER,EBMLMaxIDLength,
42F3,UINTEGER,EBMLMaxSizeLength,
4282,STRING,DocType,
4287,UINTEGER,DocTypeVersion,
4285,UINTEGER,DocTypeReadVersion,

#Globals
BF,BINARY,CRC-32,
EC,BINARY,Void,

#Signature
1B538667,MASTERELEMENT,SignatureSlot
7E8A,UINTEGER,SignatureAlgo
7E9A,UINTEGER,SignatureHash
7EA5,BINARY,SignaturePublicKey
7EB5,BINARY,Signature
7E5B,MASTERELEMENT,SignatureElements
7E7B,MASTERELEMENT,SignatureElementList
6532,BINARY,SignedElement

#Segment
18538067,MASTERELEMENT,Segment

#Seek
114D9B74,MASTERELEMENT,SeekHead
4DBB,MASTERELEMENT,Seek
53AB,BINARY,SeekID
53AC,UINTEGER,SeekPosition

#Info
1549A966,MASTERELEMENT,Info
73A4,BINARY,SegmentUID
7384,UTFSTRING,SegmentFilename
3CB923,BINARY,PrevUID
3C83AB,UTFSTRING,PrevFilename
3EB923,BINARY,NextUID
3E83BB,UTFSTRING,NextFilename
4444,BINARY,SegmentFamily
6924,MASTERELEMENT,ChapterTranslate
69FC,UINTEGER,ChapterTranslateEditionUID
69BF,UINTEGER,ChapterTranslateCodec
69A5,BINARY,ChapterTranslateID
2AD7B1,UINTEGER,TimecodeScale
4489,FLOAT,Duration
4461,DATE,DateUTC
7BA9,UTFSTRING,Title
4D80,UTFSTRING,MuxingApp
5741,UTFSTRING,WritingApp

#Cluster
1F43B675,MASTERELEMENT,Cluster
E7,UINTEGER,Timecode
5854,MASTERELEMENT,SilentTracks
58D7,UINTEGER,SilentTrackNumber
A7,UINTEGER,Position
AB,UINTEGER,PrevSize
A0,MASTERELEMENT,BlockGroup
A1,BINARY,Block
A2,BINARY,BlockVirtual
75A1,BINARY,BlockAdditions
A6,MASTERELEMENT,BlockMore
EE,UINTEGER,BlockAddID
A5,UINTEGER,BlockAdditional
9B,UINTEGER,BlockDuration
FA,UINTEGER,ReferencePriority
FB,SINTEGER,ReferenceBlock
FD,SINTEGER,ReferenceVirtual
A4,BINARY,CodecState
8E,MASTERELEMENT,Slices
E8,MASTERELEMENT,TimeSlice
CC,UINTEGER,LaceNumber
CD,UINTEGER,FrameNumber
CB,UINTEGER,BlockAdditionID
CE,UINTEGER,Delay
CF,UINTEGER,Duration
A3,BINARY,SimpleBlock
AF,BINARY,EncyptedBlock

#Track
1654AE6B,MASTERELEMENT,Tracks
AE,MASTERELEMENT,TrackEntry
D7,UINTEGER,TrackNumber
73C5,UINTEGER,TrackUID
83,UINTEGER,TrackType
B9,UINTEGER,FlagEnabled
88,UINTEGER,FlagDefault
55AA,UINTEGER,FlagForced
9C,UINTEGER,FlagLacing
6DE7,UINTEGER,MinCache
6DF8,UINTEGER,MaxCache
23E383,UINTEGER,DefaultDuration
23314F,FLOAT,TrackTimecodeScale
537F,SINTEGER,TrackOffset
55EE,UINTEGER,MaxBlockAdditionID
536E,UTFSTRING,Name
22B59C,STRING,Language
86,STRING,CodecID
63A2,BINARY,CodecPrivate
258688,UTFSTRING,CodecName
7446,UINTEGER,AttachmentLink
3A9697,UTFSTRING,CodecSettings
3B4040,STRING,CodecInfoURL
26B240,STRING,CodecDownloadURL
AA,UINTEGER,CodecDecode
6FAB,UINTEGER,TrackOverlay
6624,MASTERELEMENT,TrackTranslate
66FC,UINTEGER,TrackTranslateEditionUID
66BF,UINTEGER,TrackTranslateCodec
66A5,BINARY,TrackTranslateTrackID

#Video
E0,MASTERELEMENT,Video
9A,UINTEGER,FlagInterlaced
53B8,UINTEGER,StereoMode
B0,UINTEGER,PixelWidth
BA,UINTEGER,PixelHeight
54AA,UINTEGER,PixelCropBottom
54BB,UINTEGER,PixelCropTop
54CC,UINTEGER,PixelCropLeft
54DD,UINTEGER,PixelCropRight
54B0,UINTEGER,DisplayWidth
54BA,UINTEGER,DisplayHeight
54B2,UINTEGER,DisplayUnit
54B3,UINTEGER,AspectRatioType
2EB524,BINARY,ColourSpace
2FB523,FLOAT,GammaValue
2F83E3,FLOAT,FrameRate

#Audio
E1,MASTERELEMENT,Audio
B5,FLOAT,SamplingFrequency
78B5,FLOAT,OutputSamplingFrequency
9F,UINTEGER,Channels
7D7B,BINARY,ChannelPositions
6264,UINTEGER,BitDepth

#Content encoding
6D80,MASTERELEMENT,ContentEncodings,
6240,MASTERELEMENT,ContentEncoding,
5031,UINTEGER,ContentEncodingOrder,
5032,UINTEGER,ContentEncodingScope,
5033,UINTEGER,ContentEncodingType,
5034,MASTERELEMENT,ContentCompression,
4254,UINTEGER,ContentCompAlgo,
4255,BINARY,ContentCompSettings,
5035,MASTERELEMENT,ContentEncryption,
47E1,UINTEGER,ContentEncAlgo,
47E2,BINARY,ContentEncKeyID,
47E3,BINARY,ContentSignature,
47E4,BINARY,ContentSigKeyID,
47E5,UINTEGER,ContentSigAlgo,
47E6,UINTEGER,ContentSigHashAlgo,

E2,MASTERELEMENT,TrackOperation,
E3,MASTERELEMENT,TrackCombinePlanes,
E4,MASTERELEMENT,TrackPlane,
E5,UINTEGER,TrackPlaneUID,
E6,UINTEGER,TrackPlaneType,
E9,MASTERELEMENT,TrackJoinBlocks,
ED,UINTEGER,TrackJoinUID,


#Cues
1C53BB6B,MASTERELEMENT,Cues,
BB,MASTERELEMENT,CuePoint,
B3,UINTEGER,CueTime,
B7,MASTERELEMENT,CueTrackPositions,
F7,UINTEGER,CueTrack,
F1,UINTEGER,CueClusterPosition,
5378,UINTEGER,CueBlockNumber,
EA,UINTEGER,CueCodecState,
DB,MASTERELEMENT,CueReference,
96,UINTEGER,CueRefTime,
97,UINTEGER,CueRefCluster,
535F,UINTEGER,CueRefNumber,
EB,UINTEGER,CueRefCodecState,

#Attachment
1941A469,MASTERELEMENT,Attachments,
61A7,MASTERELEMENT,AttachedFile,
467E,UTFSTRING,FileDescription,
466E,UTFSTRING,FileName,
4660,STRING,FileMimeType,
465C,BINARY,FileData,
46AE,UINTEGER,FileUID,
4675,BINARY,FileReferral,

#Chapters
1043A770,MASTERELEMENT,Chapters,
45B9,MASTERELEMENT,EditionEntry,
45BC,UINTEGER,EditionUID,
45BD,UINTEGER,EditionFlagHidden,
45DB,UINTEGER,EditionFlagDefault,
45DD,UINTEGER,EditionFlagOrdered,
B6,MASTERELEMENT,ChapterAtom,
73C4,UINTEGER,ChapterUID,
91,UINTEGER,ChapterTimeStart,
92,UINTEGER,ChapterTimeEnd,
98,UINTEGER,ChapterFlagHidden,
4598,UINTEGER,ChapterFlagEnabled,
6E67,BINARY,ChapterSegmentUID,
6EBC,BINARY,ChapterSegmentEditionUID,
63C3,UINTEGER,ChapterPhysicalEquiv,
8F,MASTERELEMENT,ChapterTrack,
89,UINTEGER,ChapterTrackNumber,
80,MASTERELEMENT,ChapterDisplay,
85,UTFSTRING,ChapString,
437C,STRING,ChapLanguage,
437E,STRING,ChapCountry,
6944,MASTERELEMENT,ChapProcess,
6955,UINTEGER,ChapProcessCodecID,
450D,BINARY,ChapProcessPrivate,
6911,MASTERELEMENT,ChapProcessCommand,
6922,UINTEGER,ChapProcessTime,
6933,BINARY,ChapProcessData,

#Tags
1254C367,MASTERELEMENT,Tags,
7373,MASTERELEMENT,Tag,
63C0,MASTERELEMENT,Targets,
68CA,UINTEGER,TargetTypeValue,
63CA,STRING,TargetType,
63C5,UINTEGER,TrackUID,
63C9,UINTEGER,EditionUID,
63C4,UINTEGER,ChapterUID,
63C6,UINTEGER,AttachmentUID,
67C8,MASTERELEMENT,SimpleTag,
45A3,UTFSTRING,TagName,
447A,STRING,TagLanguage,
4484,UINTEGER,TagDefault,
4487,UTFSTRING,TagString,
4485,BINARY,TagBinary,
